 month      ret
2012-09-28  0.28
2012-10-26 -1.72
2012-11-30  0.51
2012-12-31 -1.40
2013-01-31  1.12
2013-02-28  0.22
2013-03-28 -0.72
2013-04-30  2.69
2013-05-31 -1.41
2013-06-28  3.94
2013-07-31  0.80
2013-08-30  0.47
2013-09-30  2.83
2013-10-31  1.71
2013-11-29  4.40
2013-12-31 -2.06
2014-01-31  0.40
2014-02-28  0.55
2014-03-31  5.41
2014-04-30  1.45
2014-05-30  1.01
2014-06-30  2.39
2014-07-31  3.29
2014-08-29  0.29
2014-09-30  0.59
2014-10-31  1.62
2014-11-28  0.89
2014-12-31  4.08
2015-01-30  1.49
2015-02-27 -2.16
2015-03-31 -0.45
2015-04-30 -2.15
2015-05-29  0.31
2015-06-30  0.55
2015-07-31  0.17
2015-08-31  0.47
2015-09-25  0.75
2015-10-31  4.81
2015-11-28  3.64
2015-12-31  0.36
2016-01-31  0.32
2017-02-28 -2.01
2016-03-31 -0.38
2016-04-30 -2.73
2016-05-31  0.44

